unknown,unknown,2020-12-18 00:33:15.656822
unknown,unknown,2020-12-18 00:33:19.437422
unknown,unknown,2020-12-18 00:33:22.942690
unknown,happy,2020-12-18 00:33:26.609181
unknown,neutral,2020-12-18 00:33:30.430864
unknown,neutral,2020-12-18 00:33:34.124736
unknown,neutral,2020-12-18 00:33:38.647442
unknown,unknown,2020-12-18 00:33:42.148001
unknown,unknown,2020-12-18 00:33:45.661060
unknown,unknown,2020-12-18 00:33:49.135151
unknown,unknown,2020-12-18 00:33:52.693313
unknown,neutral,2020-12-18 00:33:52.694891
unknown,unknown,2020-12-18 00:33:56.697207
johnwu,happy,2020-12-18 00:33:56.698605
johnwu,neutral,2020-12-18 00:34:00.858885
unknown,unknown,2020-12-18 00:34:04.964252
johnwu,neutral,2020-12-18 00:34:04.965622
unknown,unknown,2020-12-18 00:34:09.532944
johnwu,neutral,2020-12-18 00:34:09.534732
unknown,unknown,2020-12-18 00:34:13.916622
johnwu,happy,2020-12-18 00:34:13.917972
unknown,unknown,2020-12-18 00:34:19.314681
unknown,happy,2020-12-18 00:34:22.865550
unknown,neutral,2020-12-18 00:34:28.307476
johnwu,neutral,2020-12-18 00:34:28.339940
unknown,unknown,2020-12-18 00:34:32.368287
johnwu,unknown,2020-12-18 00:34:32.369670
unknown,unknown,2020-12-18 00:34:36.589467
johnwu,unknown,2020-12-18 00:34:36.590819
unknown,unknown,2020-12-18 00:34:40.489648
unknown,unknown,2020-12-18 00:34:40.491031
johnwu,unknown,2020-12-18 00:34:44.277647
unknown,unknown,2020-12-18 00:34:44.279090
unknown,unknown,2020-12-18 00:34:48.034310
johnwu,unknown,2020-12-18 00:34:48.035993
johnwu,unknown,2020-12-18 00:34:51.914119
unknown,unknown,2020-12-18 00:34:51.915524
unknown,unknown,2020-12-18 00:37:19.228806
unknown,unknown,2020-12-18 00:37:22.902446
D0772389,unknown,2020-12-18 00:37:22.903831
unknown,unknown,2020-12-18 00:37:26.699184
D0772389,unknown,2020-12-18 00:37:26.700633
unknown,unknown,2020-12-18 00:41:28.592515
unknown,unknown,2020-12-18 00:41:30.477209
unknown,unknown,2020-12-18 00:41:32.569580
unknown,neutral,2020-12-18 00:41:34.576393
unknown,happy,2020-12-18 00:41:36.816684
unknown,neutral,2020-12-18 00:41:38.926185
unknown,happy,2020-12-18 00:41:41.094375
unknown,fear,2020-12-18 00:41:43.316729
unknown,happy,2020-12-18 00:41:45.283156
unknown,happy,2020-12-18 00:41:47.348829
unknown,unknown,2020-12-18 00:41:49.320222
unknown,unknown,2020-12-18 00:41:51.208199
unknown,fear,2020-12-18 00:41:53.133079
unknown,neutral,2020-12-18 00:41:55.235466
unknown,neutral,2020-12-18 00:41:57.441190
unknown,neutral,2020-12-18 00:41:59.618385
unknown,unknown,2020-12-18 00:42:01.545692
unknown,unknown,2020-12-18 00:42:03.431117
unknown,unknown,2020-12-18 00:42:05.264048
unknown,unknown,2020-12-18 00:42:07.114086
unknown,neutral,2020-12-18 00:42:09.149786
unknown,unknown,2020-12-18 00:42:11.334737
unknown,unknown,2020-12-18 00:42:13.214801
unknown,unknown,2020-12-18 00:42:15.236437
unknown,unknown,2020-12-18 01:44:28.165520
unknown,unknown,2020-12-18 01:44:30.061010
unknown,unknown,2020-12-18 01:44:32.234421
unknown,unknown,2020-12-18 01:44:33.959394
unknown,unknown,2020-12-18 01:44:35.587790
unknown,unknown,2020-12-18 01:44:37.881201
unknown,unknown,2020-12-18 01:44:39.776623
unknown,unknown,2020-12-18 01:44:41.667511
unknown,unknown,2020-12-18 01:44:43.529100
unknown,unknown,2020-12-18 01:44:49.968249
unknown,unknown,2020-12-18 01:44:52.090593
unknown,unknown,2020-12-18 01:44:55.646348
unknown,unknown,2020-12-18 01:44:59.881067
unknown,unknown,2020-12-18 01:45:01.770656
unknown,unknown,2020-12-18 01:45:03.665380
unknown,unknown,2020-12-18 01:45:05.589821
unknown,unknown,2020-12-18 01:45:07.483721
unknown,fear,2020-12-18 01:45:09.477024
unknown,unknown,2020-12-18 01:45:13.589026
unknown,unknown,2020-12-18 01:45:15.586376
unknown,happy,2020-12-18 01:45:18.237017
unknown,unknown,2020-12-18 01:45:20.816358
